TASK, NFILES, CHECK, NFILES_OUTPUT, QUERY
TEST_hd_atmos_v0, 10, 0, 0, "files where merge.tag=TEST_hd_atmos_v0 and namespace=usertests and dune.output_status=confirmed and dune.campaign=fdhd_he_2026a_caf and merge.dataset='usertests:fardet-hd-reco-ritm2749296_15220-fnal-w15220s1p1' and merge.cfg='standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl'" 
TEST_hd_atmos_v3, 980, 966, 97, "files where merge.tag=TEST_hd_atmos_v3 and namespace=usertests and dune.output_status=confirmed and dune.campaign=fdhd_he_2026a_caf and merge.dataset='usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1' and merge.cfg='standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl'" 
TEST_hd_atmos_v4, 980, 500, 50, "files where merge.tag=TEST_hd_atmos_v4 and namespace=usertests and dune.output_status=confirmed and dune.campaign=fdhd_he_2026a_caf and merge.dataset='usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1' and merge.cfg='standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl'" 
TEST_hd_atmos_v5, 980, 30, 3, "files where merge.tag=TEST_hd_atmos_v5 and namespace=usertests and dune.output_status=confirmed and dune.campaign=fdhd_he_2026a_caf and merge.dataset='usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1' and merge.cfg='standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl'" 
