TAG,DUNESW,NFILES,SIZE_GB,BATCH,FCL,CONFIG,CAMPAIGN,NAMESPACE,DATASET
TEST_hd_atmos,v10_20_03d01,10,12.413,100,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,hd_atmos_202604,usertests,usertests:fardet-hd-reco-ritm2749296_15220-fnal-w15220s1p1
TEST_hd_atmos_v2,v10_20_03d01,980,1213.689,100,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,hd_atmos_202604,usertests,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
