TAG,DUNESW,NFILES,SIZE_GB,BATCH,FCL,CONFIG,CAMPAIGN,NAMESPACE,DATASET
TEST-TRGSIM_CC_v1,v10_12_01d01,5027,15242.335,2,triggerana_tree_1x2x2_simpleThr_production.fcl,triggerana_tree_1x2x2_simpleThr_production.yaml,test_triggersim,usertests,fardet-hd:fardet-hd__trg_mc_2025a__detector-simulated__v10_06_00d01__detsim_dune10kt_1x2x2_notpcsigproc__prodmarley_nue_flat_cc_dune10kt_1x2x2__out1__v1_official
TRGSIM_CC_v6,v10_12_01d01,5027,15242.335,1000,triggerana_tree_1x2x2_simpleThr_production.fcl,triggerana_tree_1x2x2_simpleThr_production.yaml,test_triggersim,usertests,fardet-hd:fardet-hd__trg_mc_2025a__detector-simulated__v10_06_00d01__detsim_dune10kt_1x2x2_notpcsigproc__prodmarley_nue_flat_cc_dune10kt_1x2x2__out1__v1_official
TRGSIM_ES_v6,v10_12_01d01,5549,16795.125,1000,triggerana_tree_1x2x2_simpleThr_production.fcl,triggerana_tree_1x2x2_simpleThr_production.yaml,test_triggersim,usertests,fardet-hd:fardet-hd__trg_mc_2025a__detector-simulated__v10_06_00d01__detsim_dune10kt_1x2x2_notpcsigproc__prodmarley_nue_flat_es_dune10kt_1x2x2__out1__v1_official
TRGSIM_CC_001,v10_12_01d01,5027,15242.335,100,triggerana_tree_1x2x2_simpleThr_production.fcl,triggerana_tree_1x2x2_simpleThr_production.yaml,test_triggersim,usertests,fardet-hd:fardet-hd__trg_mc_2025a__detector-simulated__v10_06_00d01__detsim_dune10kt_1x2x2_notpcsigproc__prodmarley_nue_flat_cc_dune10kt_1x2x2__out1__v1_official
TRGSIM_CENTRAL_001,v10_12_01d01,50158,117993.559,100,triggerana_tree_1x2x6_simpleThr_production.fcl,triggerana_tree_1x2x6_simpleThr_production.yaml,test_triggersim,usertests,fardet-hd:fardet-hd__trg_mc_2025a__detector-simulated__v10_06_00d01__detsim_dune10kt_1x2x6_notpcsigproc__prodbackground_radiological_decay0_dune10kt_1x2x6_centralAPA__out1__v1_official
TRGSIM_CC_v9,v10_12_01d01,5027,15242.335,1000,triggerana_tree_1x2x2_simpleThr_production.fcl,triggerana_tree_1x2x2_simpleThr_production.yaml,test_triggersim,usertests,fardet-hd:fardet-hd__trg_mc_2025a__detector-simulated__v10_06_00d01__detsim_dune10kt_1x2x2_notpcsigproc__prodmarley_nue_flat_cc_dune10kt_1x2x2__out1__v1_official
TRGSIM_ES_v9,v10_12_01d01,5549,16795.125,1000,triggerana_tree_1x2x2_simpleThr_production.fcl,triggerana_tree_1x2x2_simpleThr_production.yaml,test_triggersim,usertests,fardet-hd:fardet-hd__trg_mc_2025a__detector-simulated__v10_06_00d01__detsim_dune10kt_1x2x2_notpcsigproc__prodmarley_nue_flat_es_dune10kt_1x2x2__out1__v1_official
TRGSIM_CENTRAL_v4,v10_12_01d01,50158,117993.559,100,triggerana_tree_1x2x6_simpleThr_production.fcl,triggerana_tree_1x2x6_simpleThr_production.yaml,test_triggersim,usertests,fardet-hd:fardet-hd__trg_mc_2025a__detector-simulated__v10_06_00d01__detsim_dune10kt_1x2x6_notpcsigproc__prodbackground_radiological_decay0_dune10kt_1x2x6_centralAPA__out1__v1_official
